SL.No.,CITY 1,CITY 2,PASSENGERS TO CITY 2,PASSENGERS FROM CITY 2,FREIGHT TO CITY 2,FREIGHT FROM CITY 2,TOTAL PASSENGERS
77,DAMMAM,KOZHIKODE,19939.0,28556.0,18.329,327.173,48495.0
78,DAMMAM,LUCKNOW,25173.0,25166.0,2.878,51.444,50339.0
79,DAMMAM,MANGALORE,6679.0,8605.0,9.716,245.1607,15284.0
80,DAMMAM,MUMBAI,34927.0,45759.0,47.268,514.6283,80686.0
81,DAMMAM,TIRUCHIRAPALLY,2321.0,2851.0,0.0,427.152,5172.0
82,DAMMAM,TRIVANDRUM,11741.0,14302.0,61.515429389313,182.723,26043.0
83,DAR ES SALAM,MUMBAI,8608.0,10373.0,1.336,145.51368,18981.0
84,DENPASAR,BENGALURU,12734.0,13722.0,0.0,0.0,26456.0
85,DENPASAR,DELHI,19029.0,20267.0,320.293,6.829,39296.0
86,DHAKA,CHENNAI,17744.0,16764.0,34.693,135.505,34508.0
87,DHAKA,DELHI,46859.0,30232.0,551.256,361.7136,77091.0
88,DHAKA,HYDERABAD,12098.0,5329.0,103.059,19.171,17427.0
89,DHAKA,KOLKATA,28601.0,27378.0,98.5,486.811,55979.0
90,DHAKA,MUMBAI,29355.0,26115.0,196.949,53.5241,55470.0
91,DOHA,AHMEDABAD,13257.0,14606.0,1048.025,2461.158,27863.0
92,DOHA,AMRITSAR,14307.0,14115.0,7.919,47.992,28422.0
93,DOHA,BENGALURU,40008.0,42999.0,3062.475,3970.389,83007.0
94,DOHA,CHENNAI,38844.0,40699.0,4190.018,4227.157,79543.0
95,DOHA,DELHI,89513.0,88330.0,2939.061,5015.447,177843.0
96,DOHA,GOA,12493.0,14430.0,0.937,99.685,26923.0
97,DOHA,HYDERABAD,59594.0,61400.0,1403.035,3167.666,120994.0
98,DOHA,KANNUR,21165.0,25093.0,22.003,84.9814,46258.0
99,DOHA,KOCHI,72216.0,79075.0,298.088,1644.7311000000002,151291.0
100,DOHA,KOLKATA,20848.0,21801.0,634.675,1116.937,42649.0
101,DOHA,KOZHIKODE,20793.0,25232.0,10.683,524.2366000000001,46025.0
102,DOHA,MANGALORE,2652.0,3686.0,48.929,78.87289999999999,6338.0
103,DOHA,MUMBAI,94451.0,107584.0,5804.4337000000005,5597.7393,202035.0
104,DOHA,NAGPUR,6882.0,8564.0,0.633,1.195,15446.0
105,DOHA,TIRUCHIRAPALLY,1559.0,1732.0,1.012,48.573,3291.0
106,DOHA,TRIVANDRUM,18110.0,19479.0,25.96,158.933,37589.0
107,"DON MUEANG, BANGKOK ",AHMEDABAD,16307.0,17294.0,60.344,144.3155,33601.0
108,"DON MUEANG, BANGKOK ",AMRITSAR,5927.0,6042.0,0.0,0.0,11969.0
109,"DON MUEANG, BANGKOK ",BENGALURU,16458.0,16292.0,207.029,196.132,32750.0
110,"DON MUEANG, BANGKOK ",CHENNAI,13653.0,12898.0,101.561,176.69,26551.0
111,"DON MUEANG, BANGKOK ",DELHI,10799.0,10516.0,445.081,187.918,21315.0
112,"DON MUEANG, BANGKOK ",GAYA,4721.0,4309.0,0.0,0.0,9030.0
113,"DON MUEANG, BANGKOK ",GUWAHATI,4285.0,4214.0,0.0,0.0,8499.0
114,"DON MUEANG, BANGKOK ",JAIPUR,10010.0,10794.0,0.528,23.7916,20804.0
115,"DON MUEANG, BANGKOK ",KOCHI,14819.0,16258.0,44.5418,28.678,31077.0
116,"DON MUEANG, BANGKOK ",KOLKATA,13979.0,12835.0,106.171,204.044,26814.0
117,"DON MUEANG, BANGKOK ",LUCKNOW,7513.0,7530.0,0.0,30.54,15043.0
118,"DON MUEANG, BANGKOK ",MUMBAI,9460.0,11056.0,148.913,38.489,20516.0
119,"DON MUEANG, BANGKOK ",VISAKHAPATNAM,2731.0,2746.0,0.0,0.0,5477.0
120,DUBAI,AHMEDABAD,62872.0,72441.0,920.961,1749.9463279999998,135313.0
121,DUBAI,AMRITSAR,30588.0,30654.0,3.051,132.1665,61242.0
122,DUBAI,BENGALURU,107432.0,112092.0,3327.51308,7889.39207,219524.0
123,DUBAI,BHUBANESWAR,6833.0,7021.0,1.513,0.0,13854.0
124,DUBAI,CHANDIGARH,15888.0,16247.0,0.0,0.0,32135.0
125,DUBAI,CHENNAI,113735.0,122353.0,4112.6191,4666.527303000001,236088.0
126,DUBAI,DELHI,279934.0,288420.0,3830.7426440000004,11694.935028000002,568354.0
127,DUBAI,GOA,8277.0,9461.0,65.619,3.651,17738.0
128,DUBAI,HYDERABAD,119983.0,132735.0,777.5879,3737.478701,252718.0
129,DUBAI,JAIPUR,16806.0,17781.0,1.8645,55.008449999999996,34587.0
130,DUBAI,KANNUR,15256.0,15071.0,22.104,158.96779999999998,30327.0
131,DUBAI,KOCHI,113218.0,127428.0,821.9579100000001,3011.913996686275,240646.0
132,DUBAI,KOLKATA,51512.0,52845.0,738.323,2876.99743,104357.0
133,DUBAI,KOZHIKODE,58070.0,64136.0,74.278429389313,763.21,122206.0
134,DUBAI,LUCKNOW,20634.0,20634.0,2.71,99.26,41268.0
135,DUBAI,MADURAI,13219.0,14782.0,0.0,160.78764999999999,28001.0
136,DUBAI,MANGALORE,31616.0,35638.0,219.8255,93.932,67254.0
137,DUBAI,MUMBAI,291533.0,324351.0,5765.91554,12400.250477,615884.0
138,DUBAI,PUNE,25362.0,28247.0,0.0,14.281,53609.0
139,DUBAI,SURAT,12248.0,13986.0,88.779,68.211,26234.0
140,DUBAI,TIRUCHIRAPALLY,12563.0,12182.0,206.50142938931302,0.338,24745.0
141,DUBAI,TRIVANDRUM,36446.0,42662.0,83.91440000000001,1685.8743459999998,79108.0
142,FRANKFURT,BENGALURU,22750.0,30241.0,1774.863,1047.378,52991.0
143,FRANKFURT,CHENNAI,13707.0,16277.0,582.499,696.749,29984.0
144,FRANKFURT,DELHI,62465.0,65225.0,1850.7685,2746.4805,127690.0
145,FRANKFURT,HYDERABAD,14521.0,20532.0,496.969,1681.388,35053.0
146,FRANKFURT,MUMBAI,32922.0,38705.0,5387.48,4357.2827,71627.0
147,GUANGZHOU,BENGALURU,0.0,0.0,879.403,0.0,0.0
148,GUANGZHOU,DELHI,0.0,0.0,1063.884,130.871,0.0
149,GUANGZHOU,MUMBAI,0.0,0.0,0.0,226.461,0.0
150,HAA DHAALU ATOLL,TRIVANDRUM,682.0,733.0,0.0,2.508,1415.0
151,HANOI,DELHI,24278.0,27236.0,2226.0622999999996,1148.3692,51514.0
152,HANOI,KOLKATA,17308.0,18309.0,19.583,102.515,35617.0
153,HANOI,MUMBAI,6427.0,7312.0,50.996,33.642,13739.0
154,HELNSKI,DELHI,16222.0,19135.0,499.385,953.414,35357.0
155,HO CHI MINH CITY,DELHI,38211.0,38266.0,2439.6895,365.9773,76477.0
156,HO CHI MINH CITY,KOLKATA,13342.0,13161.0,109.68,16.874,26503.0
157,HO CHI MINH CITY,MUMBAI,14422.0,14967.0,326.623,318.034,29389.0
158,HONG KONG,BENGALURU,16866.0,22607.0,1421.171,1184.133,39473.0
159,HONG KONG,CHENNAI,11318.0,14690.0,6469.218,5671.077663,26008.0
160,HONG KONG,DELHI,80563.0,85088.0,16507.35813,2632.9656,165651.0
161,HONG KONG,HYDERABAD,194.0,104.0,13.717,13.676,298.0
162,HONG KONG,MUMBAI,34390.0,43154.0,5723.3108999999995,5010.577899999999,77544.0
163,ISTANBUL,BENGALURU,0.0,0.0,1011.28049,1842.851,0.0
164,ISTANBUL,CHENNAI,0.0,0.0,1962.911,2057.441,0.0
165,ISTANBUL,DELHI,72759.0,78292.0,896.915,2620.218,151051.0
166,ISTANBUL,HYDERABAD,0.0,0.0,198.103,2083.068,0.0
167,ISTANBUL,MUMBAI,66319.0,78049.0,4289.2289,3898.13,144368.0
168,JAFFNA,CHENNAI,6005.0,5168.0,0.0,0.0,11173.0
169,JAFFNA,TIRUCHIRAPALLY,59.0,38.0,0.0,0.0,97.0
170,JEDDAH,AHMEDABAD,17070.0,20396.0,0.031,29.92,37466.0
171,JEDDAH,BENGALURU,26318.0,28004.0,95.997,637.047,54322.0
172,JEDDAH,DELHI,77112.0,78953.0,150.627,2289.4915,156065.0
173,JEDDAH,HYDERABAD,46356.0,49256.0,8.673,680.514,95612.0
174,JEDDAH,KANNUR,3337.0,3256.0,187.4418,132.4774,6593.0
175,JEDDAH,KOCHI,14141.0,17038.0,172.431,663.275,31179.0
176,JEDDAH,KOZHIKODE,32589.0,34117.0,26.32,523.5436000000001,66706.0
177,JEDDAH,LUCKNOW,20898.0,19295.0,0.681,238.034,40193.0
178,JEDDAH,MANGALORE,1956.0,1886.0,198.56879999999998,25.476800000000004,3842.0
179,JEDDAH,MUMBAI,107461.0,122494.0,94.261,2040.9777900000001,229955.0
180,KABUL,DELHI,148.0,200.0,123.363,102.547,348.0
181,KATHMANDU,DELHI,110726.0,111143.0,136.989,301.35080000000005,221869.0
182,KATHMANDU,MUMBAI,18525.0,18579.0,0.526,58.284,37104.0
183,KATHMANDU,VARANASI,2327.0,2320.0,0.0,0.0,4647.0
184,KRABI,BENGALURU,123.0,33.0,0.0,0.0,156.0
185,KRABI,MUMBAI,598.0,304.0,0.0,0.0,902.0
186,KUALALUMPUR,AHMEDABAD,14416.0,16315.0,164.238,212.928,30731.0
187,KUALALUMPUR,AMRITSAR,22695.0,24777.0,369.09,417.358,47472.0
188,KUALALUMPUR,BENGALURU,43086.0,45738.0,522.328,688.975,88824.0
189,KUALALUMPUR,CHENNAI,61086.0,67092.0,617.693,1002.984,128178.0
190,KUALALUMPUR,DELHI,70483.0,74769.0,1406.0415,1371.7227,145252.0
191,KUALALUMPUR,HYDERABAD,24820.0,28320.0,368.268,572.325,53140.0
192,KUALALUMPUR,JAIPUR,3491.0,3037.0,0.0,0.0,6528.0
193,KUALALUMPUR,KOCHI,41107.0,46618.0,304.68,464.32002,87725.0
194,KUALALUMPUR,KOLKATA,19311.0,21442.0,179.581,409.124,40753.0
195,KUALALUMPUR,KOZHIKODE,4762.0,4770.0,0.0,0.0,9532.0
196,KUALALUMPUR,LUCKNOW,6015.0,5761.0,0.0,0.0,11776.0
197,KUALALUMPUR,MUMBAI,33048.0,40873.0,1204.834,1237.252,73921.0
198,KUALALUMPUR,TIRUCHIRAPALLY,52003.0,50190.0,3.735,365.179,102193.0
199,KUALALUMPUR,TRIVANDRUM,10488.0,13275.0,122.78,194.804,23763.0
200,KUALALUMPUR,VISAKHAPATNAM,1651.0,1524.0,0.0,0.0,3175.0
201,KUWAIT,AHMEDABAD,20124.0,21882.0,13.396,149.705,42006.0
202,KUWAIT,BENGALURU,6107.0,6991.0,0.098,126.362,13098.0
203,KUWAIT,CHENNAI,17765.0,18881.0,35.334,135.109,36646.0
204,KUWAIT,DELHI,37386.0,42595.0,42.692,597.093,79981.0
205,KUWAIT,HYDERABAD,20796.0,25174.0,2.8223199999999995,187.33794,45970.0
206,KUWAIT,KANNUR,3341.0,3815.0,7.055,89.7049,7156.0
207,KUWAIT,KOCHI,29404.0,39317.0,11.337299999999999,1000.586,68721.0
208,KUWAIT,KOZHIKODE,6409.0,9045.0,55.644,270.09,15454.0
209,KUWAIT,MANGALORE,1339.0,2075.0,3.48,43.705600000000004,3414.0
210,KUWAIT,MUMBAI,41703.0,59841.0,5.203,1406.8699000000001,101544.0
211,KUWAIT,TIRUCHIRAPALLY,1535.0,1936.0,0.281,30.199900000000003,3471.0
212,KUWAIT,TRIVANDRUM,7693.0,10067.0,0.0,567.819,17760.0
213,Langkawi,BENGALURU,11411.0,9891.0,0.0,0.0,21302.0
214,LEIPZIG,BENGALURU,0.0,0.0,0.0,4398.261,0.0
215,LEIPZIG,DELHI,0.0,0.0,0.0,2226.636,0.0
216,LONDON,AHMEDABAD,14358.0,14588.0,28.882,513.6364,28946.0
217,LONDON,AMRITSAR,9672.0,8370.0,0.52,0.0,18042.0
218,LONDON,BENGALURU,49532.0,60490.0,1544.5551,3036.071,110022.0
219,LONDON,CHENNAI,15586.0,17062.0,582.51,1098.51,32648.0
220,LONDON,DELHI,211734.0,229907.0,3211.4781000000003,7782.086199999999,441641.0
221,LONDON,GOA,10427.0,11354.0,1.124,695.668,21781.0
222,LONDON,HYDERABAD,15755.0,17141.0,538.05,870.35,32896.0
223,LONDON,KOCHI,8486.0,8445.0,12.5731,111.416,16931.0
224,LONDON,MUMBAI,139971.0,174876.0,5255.434200000001,9375.339800000002,314847.0
225,LUXEMBOURG,DELHI,0.0,0.0,196.879,197.056,0.0
226,MALE,BENGALURU,16454.0,14850.0,0.063,378.353,31304.0
227,MALE,DELHI,9792.0,10632.0,0.0,40.2392,20424.0
228,MALE,HYDERABAD,462.0,532.0,0.0,1.308,994.0
229,MALE,KOCHI,15666.0,14657.0,0.45,225.271,30323.0
230,MALE,MUMBAI,25995.0,25167.0,0.961,335.9815,51162.0
231,MALE,TRIVANDRUM,3590.0,3800.0,0.0,10.597,7390.0
232,MEDINA,HYDERABAD,2939.0,3154.0,0.0,0.0,6093.0
233,MELBOURNE,DELHI,30066.0,29556.0,377.1218,645.8667,59622.0
234,MELBOURNE,MUMBAI,8539.0,8832.0,120.179,258.7985,17371.0
235,MILAN,AMRITSAR,8601.0,9463.0,0.0,0.0,18064.0
236,MILAN,DELHI,21815.0,21735.0,693.783,673.2388,43550.0
237,MONTREAL,DELHI,24066.0,21193.0,125.6,456.704,45259.0
238,MOSCOW,DELHI,23061.0,24630.0,112.483,227.594,47691.0
239,MOSCOW,GOA,10511.0,11548.0,6.994,177.851,22059.0
240,MUNICH,BENGALURU,12077.0,14150.0,793.467,879.046,26227.0
241,MUNICH,DELHI,35827.0,40735.0,503.943,686.208,76562.0
242,MUNICH,MUMBAI,20889.0,24358.0,1380.43,1290.684,45247.0
243,MUSCAT,BENGALURU,12311.0,15551.0,35.94,183.485,27862.0
244,MUSCAT,CHENNAI,23362.0,25600.0,249.96,202.068,48962.0
245,MUSCAT,DELHI,36537.0,39624.0,101.525,351.567,76161.0
246,MUSCAT,GOA,4285.0,7022.0,0.099,39.59782,11307.0
247,MUSCAT,HYDERABAD,29745.0,37486.0,98.947,265.3898,67231.0
248,MUSCAT,JAIPUR,9926.0,9834.0,0.106,0.0,19760.0
249,MUSCAT,KANNUR,7662.0,10216.0,65.4885,264.33840000000004,17878.0
250,MUSCAT,KOCHI,43331.0,51646.0,130.08929999999998,599.8447,94977.0
251,MUSCAT,KOZHIKODE,31220.0,39721.0,44.965,303.583,70941.0
252,MUSCAT,LUCKNOW,25682.0,26360.0,1.3648,97.359,52042.0
253,MUSCAT,MANGALORE,4061.0,4895.0,115.6979,209.64442938931302,8956.0
254,MUSCAT,MUMBAI,52762.0,70629.0,60.29458,1392.0848999999998,123391.0
255,MUSCAT,TIRUCHIRAPALLY,2432.0,2580.0,2.33,159.518,5012.0
