SL.No.,CITY 1,CITY 2,PASSENGERS TO CITY 2,PASSENGERS FROM CITY 2,FREIGHT TO CITY 2,FREIGHT FROM CITY 2,TOTAL PASSENGERS
336,SINGAPORE,AMRITSAR,18323.0,18119.0,46.895900000000005,35.8582,36442.0
337,SINGAPORE,BENGALURU,72301.0,81961.0,1984.9862,2328.152,154262.0
338,SINGAPORE,BHUBANESWAR,2631.0,3355.0,0.15,0.0,5986.0
339,SINGAPORE,CHENNAI,118755.0,131671.0,1903.052,2532.43,250426.0
340,SINGAPORE,COIMBATORE,21958.0,27340.0,3.818,273.465,49298.0
341,SINGAPORE,DELHI,129443.0,138222.0,3605.7682,1445.8038999999999,267665.0
342,SINGAPORE,GUWAHATI,262.0,376.0,0.0,0.0,638.0
343,SINGAPORE,HYDERABAD,40438.0,48845.0,752.691,754.197,89283.0
344,SINGAPORE,KOCHI,18787.0,21922.0,17.314,108.239,40709.0
345,SINGAPORE,KOLKATA,27466.0,33262.0,566.826,702.46,60728.0
346,SINGAPORE,MADURAI,5897.0,6208.0,30.148,0.1,12105.0
347,SINGAPORE,MUMBAI,97721.0,115511.0,2676.3044,1887.8713,213232.0
348,SINGAPORE,PUNE,5970.0,7595.0,0.0,7.1831000000000005,13565.0
349,SINGAPORE,TIRUCHIRAPALLY,68437.0,69771.0,30.8646,394.804,138208.0
350,SINGAPORE,TRIVANDRUM,12666.0,14267.0,0.6013999999999999,31.2455,26933.0
351,SINGAPORE,VISAKHAPATNAM,7520.0,8432.0,0.0,0.0,15952.0
352,SYDNEY,DELHI,21171.0,21268.0,508.563,509.53079999999994,42439.0
353,TAIPAE,DELHI,0.0,0.0,341.936,330.186,0.0
354,TANGERANG,MUMBAI,15761.0,15586.0,4.502,1.09,31347.0
355,TASHKENT,DELHI,27016.0,28252.0,60.296,446.048,55268.0
356,TBILISI,DELHI,13788.0,11956.0,0.371,20.941,25744.0
357,TEHRAN,DELHI,6816.0,5465.0,29.676,304.35409999999996,12281.0
358,TEHRAN,MUMBAI,2343.0,1830.0,10.869,63.542,4173.0
359,TELAVIV,DELHI,4604.0,4769.0,64.2867,25.5854,9373.0
360,TOKYO,DELHI,31517.0,38818.0,1849.61,1923.394,70335.0
361,TORONTO,DELHI,76660.0,78808.0,1048.4038999999998,1202.5576999999998,155468.0
362,VANCOUVER,DELHI,27191.0,28356.0,121.8686,517.103,55547.0
363,VIENNA,DELHI,9092.0,9314.0,264.3966,990.3419,18406.0
364,WARSAW,DELHI,14121.0,16013.0,109.889,768.574,30134.0
365,"WASHINGTON, DC",DELHI,13481.0,16066.0,171.3013,289.8476,29547.0
366,YEKATERINBURG,GOA,4694.0,5162.0,0.0,0.042,9856.0
367,ZURICH,DELHI,26646.0,31178.0,815.8268,972.7968000000001,57824.0
368,ZURICH,MUMBAI,12059.0,19149.0,1084.372,1209.821,31208.0
